bccgcoD_0;bpaadD_0;bpcgrU_0;bpcinV_0;bpcnuM_0;bprnaM_0;crN_0;credattiM_0;ctY_0;cuR_0;naF_0;ostauZ_0;ptE_0;reP_0;reP_1;teL_0;tsccoD_0;upddattiM_0;vacbpR_0
;C2;4111DIVERS-BSM;4111DIVERS-BSM;4111DIVERS-BSM;CLIENT DIVERS GRAND BASSAM; ;2025-06-18T07:07:43;GRAND BASSAM;XOF; ;0.0;CC1;INNOCENT;OLGA; ;200;2025-07-02T00:47:37;AIRSI
;C1;4111DIVERS-KMSI;4111DIVERS-KMSI;4111DIVERS-KMSI;CLIENT DIVERS KOUMASSI; ;2025-06-18T07:02:07;ABIDJAN;XOF; ;0.0;CC1;PHILGENCE;OLGA; ;300;2025-07-02T00:47:56;AIRSI
;C1;4111DIVERS-SQR;4111DIVERS-SQR;4111DIVERS-SQR;CLIENT DIVERS SQUARE; ;2025-06-18T06:57:54;ABIDJAN;XOF; ;0.0;CC1;CODJO;OLGA; ;400;2025-07-02T00:48:37;AIRSI
;C1;4111DIVERS-SYN;4111DIVERS-SYN;4111DIVERS-SYN;CLIENT DIVERS SYNACASSCI; ;2025-06-18T07:00:21;ABIDJAN;XOF; ;0.0;CC1;SARAH;OLGA; ;200;2025-07-02T00:49:05;AIRSI
;C1;4111DIVERS-YPDG;4111DIVERS-YPDG;4111DIVERS-YPDG;CLIENT DIVERS YOPOUGON DEMI GROS; ;2025-06-18T07:03:51;ABIDJAN;XOF; ;0.0;CC1;BAMBA;OLGA; ;300;2025-07-02T00:49:24;AIRSI
;C1;4111DIVERS-YPLS;4111DIVERS-YPLS;4111DIVERS-YPLS;CLIENT DIVERS YOPOUGON DETAIL ; ;2025-06-18T07:05:15;ABIDJAN;XOF; ;0.0;CC1;LONZO;OLGA; ;200;2025-07-02T00:50:05;AIRSI
;01;4111DJEHCAU;4111DJEHCAU;4111DJEHCAU;DJEH CAU LE VERGOR HENRY; ;2022-12-15T01:51:26; ;XOF; ;10000000.0;CC1;HYACINTHEK;OLGA; ;300;2024-09-19T20:46:38;AIRSI
;01;4111DJEMS;4111DJEMS;4111DJEMS;DJEMS LUC; ;2022-02-18T01:52:35;ABIDJAN;XOF; ;2000000.0;CC1;SYNA;OLGA; ;300;2024-08-10T05:45:46;AIRSI
;01;4111DJENZOU;4111DJENZOU;4111DJENZOU;DJENZOU MARIE JOELLE; ;2023-01-19T04:12:55;ABIDJAN;XOF; ;1000000.0;CC1;SYNA;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;C1;4111DJOLI;4111DJOLI;4111DJOLI;DJOLI COTE D IVOIRE ;CIABJ032023B1700091;2024-12-07T06:06:12;ABIDJAN;XOF;2303186D;500000.0;FRCHQ07DF;OLGA;OLGA; ;200;2025-05-14T00:18:12;NOR
;01;4111DO-EAT;4111DO-EAT;4111DO-EAT;DO EAT; ;2022-05-10T01:15:18; ;XOF; ;5000000.0;FRCHQ30FM-;SERGEMOTTO;OLGA;0566825408;100;2025-05-14T20:52:47;NOR
;01;4111DODO-GROUP;4111DODO-GROUP;4111DODO-GROUP;DODO GROUP ( IVOIRE MARKET );CI-ABJ032022B1204707;2023-01-05T05:22:41;PORT BOUET;XOF;2243369A;250000.0;CC1;TOURE;OLGA; ;200;2025-06-05T21:36:04;NOR
;1;4111DOLCE;4111DOLCE;4111DOLCE;DOLCE VITA; ;2021-12-02T04:16:54; ;XOF; ;5000000.0;CH1;DABA;OLGA; ;400;2025-01-17T00:42:24;NOR
;C1;4111DOMEDORE;4111DOMEDORE;4111DOMEDORE;HOTEL DOME DORE;CIABJ032019B1210151;2025-04-12T03:55:57;ABIDJAN;XOF;1922932K;500000.0;CH15DFAC;CODJO;OLGA; ;400;2025-04-12T03:59:58;AIRSI
;01;4111DOMOUA;4111DOMOUA;4111DOMOUA;DOMOUA EGNANKOU EDMAND; ;2022-03-02T04:45:04; ;XOF; ;2000000.0;CC1;SYNA; ; ;300;2022-03-02T04:45:04;AIRSI
;01;4111DOROTHE;4111DOROTHE;4111DOROTHE;SEA DOROTHEE; ;2021-09-16T03:32:19;ABIDJAN;XOF; ;5000000.0;ES1;SYNA;SYNA;0708443216;300;2024-08-26T19:38:31;AIRSI
;C1;4111DOTSE;4111DOTSE;4111DOTSE; ; ;2025-01-29T00:18:39;ABIDJAN;XOF; ;0.0;CC1;KANI;OLGA; ;300;2025-01-29T00:18:39;AIRSI
;C1;4111DREAM;4111DREAM;4111DREAM;THE DREAM SARL U;CI-ABJ032021B1300800;2023-09-19T02:03:03;ABIDJAN;XOF;2112066R;500000.0;CC1;SERAPHIN;OLGA; ;400;2025-04-05T05:02:15;AIRSI
;01;4111DUNORD;4111DUNORD;4111DUNORD;POISSONNERIE DU NORD;CIKGO-2012-B-328;2021-07-13T21:00:18;KORHOGO;XOF;1293055T;3000000.0;CC1;SYNA;SYNA;0708344935;300;2024-05-13T00:09:51;AIRSI
;C1;4111EATBAG;4111EATBAG;4111EATBAG;EAT BAG;CIABJ-2018-B-15059;2025-06-30T21:52:35;ABIDJAN;XOF;1830273G;0.0;CC1;CODJO;OLGA; ;100;2025-06-30T21:52:35;AIRSI
;01;4111EBL-GROUPE;4111EBL-GROUPE;4111EBL-GROUPE;GROUPE EBL;C-ABJ-2013-B-18062;2023-02-14T00:29:36;ABIDJAN-COCODY;XOF;0906091S;250000.0;CC1;TOURE;OLGA;2722435598;200;2024-05-13T00:09:51;NOR
;01;4111EBUNNIESHOP;4111EBUNNIESHOP;4111EBUNNIESHOP;EBUNNIE SHOPPING SARL;CI-ABJ-2020-B-10692;2022-09-23T02:34:43; ;XOF;2032016A;0.0;CH15DFAC;TOURE;OLGA;0789092813;200;2024-05-13T00:09:51;NOR
;C1;4111ECO-SARL;4111ECO-SARL;4111ECO-SARL;SUPER ECO SARL;CIABJ032023B1312573;2024-02-16T06:20:26;ABIDJAN;XOF;2305328U;500000.0;CC1;PHILGENCE;OLGA;0140534905;200;2024-11-07T21:47:16;AIRSI
;C1;4111ECONO-JACQ;4111ECONO-JACQ;4111ECONO-JACQ;ECONOMAT DES ARMEES JACQUEVILLE; ;2024-11-20T07:04:42;ABIDJAN;XOF; ;7500000.0;CH10;SERGEMOTTO;OLGA;0708657967;100;2025-03-21T06:43:30;NOR
;C1;4111ECONOMAT;4111ECONOMAT;4111ECONOMAT;ECONOMAT DES ARMEES ; ;2024-07-30T01:50:48;ABIDJAN;XOF; ;5000000.0;CH10;SERGEMOTTO;OLGA;0708657967;100;2025-03-18T22:06:17;EXO
;01;4111EDEN;4111EDEN;4111EDEN;EDEN SED DISTRIBUTION;CI-ABJ-2020-B-15695;2021-10-15T21:39:05;ABIDJAN-COCODY;XOF;2047068D;1000000.0;CHFM10;SERGEMOTTO;OLGA; ;100;2024-07-19T22:54:43;NOR
;01;4111EDID-CI;4111EDID-CI;4111EDID-CI;EDID - CI; ;2022-04-25T21:18:43; ;XOF; ;3000000.0;CC1;SERGEMOTTO;OLGA; ;100;2024-08-13T06:55:19;NOR
;01;4111EDJEME;4111EDJEME;4111EDJEME;EDJEME KASSY GUY MARTIN; ;2022-12-15T01:58:35;DABOU;XOF; ;8000000.0;CC1;HYACINTHEK;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;01;4111EDOF;4111EDOF;4111EDOF;ENTREPRISE DO ET FRERES SARL;CI-ABJ-2019-B-02311;2023-01-18T00:34:38;COCODY;XOF;1906370N;500000.0;CC1;MOTTO;OLGA; ;400;2024-08-13T07:09:36;NOR
;01;4111EHRI;4111EHRI;4111EHRI;EHRI;CI-ABJ-03-2021-B13-0;2022-02-22T02:37:20; ;XOF;2160849 K;500000.0;CH10;DABA;OLGA; ;400;2025-01-29T07:30:49;NOR
;01;4111EIREC;4111EIREC;4111EIREC;ENTREPRISE IVOIRIENNE DE RESTAURATI;CI-GRDBSM-2007-A-858;2023-03-22T06:30:57;COCODY;XOF;9412460H;20000000.0;FRCHQ30FAC-;BAMBA;OLGA; ;100;2025-05-14T00:14:51;NOR
;01;4111EKOUASSI;4111EKOUASSI;4111EKOUASSI;SUPERETTE EHOULAN KOUASSI;CI-GRDBM-2021-B-2230;2022-02-23T05:56:23;ABIDJAN;XOF;4273243J;500000.0;CH15JFIN15;TOURE;SYNA; ;200;2024-06-22T03:19:38;NOR
;01;4111ELIFES;4111ELIFES;4111ELIFES;ESSENTIAL LIFE SERVICES;CI-ABJ-2017-M-02064;2022-02-09T05:39:39;ABIDJAN;XOF;1005026 R;10000000.0;FRCHQ30FM10;SERGEMOTTO;OLGA; ;100;2025-04-16T21:17:08;NOR
;C1;4111ELOALLIANCE;4111ELOALLIANCE;4111ELOALLIANCE;ELO ALLIANCE;CIABJ032022B1201849;2024-11-20T23:15:56;ABIDJAN;XOF;2231374H;0.0;CC1;DABA;OLGA;0708562973;400;2024-12-29T02:04:29;AIRSI
;C1;4111ELPADRINO;4111ELPADRINO;4111ELPADRINO;EL PADRINO;CIABJ032023B1302546;2024-10-05T21:23:42;ABIDJAN;XOF;2301321A;1000000.0;CH10;CODJO;OLGA;0747558615;400;2025-06-13T05:53:59;AIRSI
;C1;4111ELY;4111ELY;4111ELY;SUPERMARCHE ABWABELKER;CI-ABJ03202311003322;2023-11-09T23:53:06;ABIDJAN;XOF;2304695Q;500000.0;CC1;PHILGENCE;OLGA; ;200;2024-08-23T05:40:57;AIRSI
;C2;4111EMILETIEU;4111EMILETIEU;4111EMILETIEU;EMILE TIEU; ;2025-03-11T04:58:46;GRAND BASSAM;XOF; ;1000000.0;CC1;TOURE;OLGA;077320331;200;2025-03-11T04:59:05;NOR
;C1;4111ENIMILIN;4111ENIMILIN;4111ENIMILIN;ENIMILIN KOUAO AMAN KOUAO ; ;2023-09-11T21:11:52;ABIDJAN;XOF; ;3000000.0;CC1;KANI;OLGA; ;300;2024-09-19T06:59:13;AIRSI
;01;4111ENTRACTE;4111ENTRACTE;4111ENTRACTE;L'ENTRACTE;CI-ABJ-2016-B-4317;2021-10-05T20:21:32;ABIDJAN;XOF;1608760;1000000.0;CHFM10;CODJO;OLGA; ;400;2025-03-18T01:47:36;NOR
;C1;4111EPHRATA;4111EPHRATA;4111EPHRATA;SUPERETTE EPHRATA; ;2024-01-10T22:49:44; ;XOF; ;250000.0;CC1;TOURE;OLGA;0140443397;200;2025-01-17T21:26:24;AIRSI
;C1;4111ERICYM;4111ERICYM;4111ERICYM;ERICYM ENTREPRISE;CI-ABJ032021B1201390;2023-11-11T04:25:03; ;XOF;2113670G;0.0;CC1;SERAPHIN;OLGA; ;900;2024-08-23T21:15:07;AIRSI
;01;4111ESTHER;4111ESTHER;4111ESTHER;KOUASSI ESTHER; ;2022-02-18T01:59:50;ABIDJAN;XOF; ;5000000.0;CC1;SYNA;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;01;4111ETOILE;4111ETOILE;4111ETOILE;ETOILE DU JOUR; ;2021-09-23T22:50:29;ABIDJAN;XOF; ;2000000.0;CC1;SYNA;SYNA; ;300;2024-05-13T00:09:51;AIRSI
;01;4111ETS-BILAL;4111ETS-BILAL;4111ETS-BILAL;PARADIS DES PRIX;CI-ABJ-2015-B-13841;2022-05-13T00:05:50;ABIDJAN;XOF;1543905 X;1000000.0;CH15;TOURE;OLGA;0707335511;200;2024-06-27T21:30:46;NOR
;C1;4111ETS-JAMES;4111ETS-JAMES;4111ETS-JAMES;ETS JAMES CENTER SERVICES;CI-ABJ03CO2277100372;2023-10-19T01:48:25;PORT BOUET;XOF;2244444A;500000.0;ES3;CODJO;OLGA; ;400;2024-05-13T00:09:51;AIRSI
;01;4111ETS-NIARE;4111ETS-NIARE;4111ETS-NIARE;ETABLISSEMENT NIARE ET FRERES (ENF);CI-ABJ-2016-B-27545;2022-09-23T02:30:42; ;XOF;1655909K;1000000.0;CH15DFAC;TOURE;OLGA;0179506329;200;2024-07-02T02:37:27;NOR
;01;4111ETS-OUYA;4111ETS-OUYA;4111ETS-OUYA;ETS OUYA; ;2022-05-25T00:24:31; ;XOF;0716294 A;1000000.0;CC1;SERGEMOTTO;OLGA; ;100;2024-08-13T06:51:10;NOR
;C1;4111ETS-PRADA;4111ETS-PRADA;4111ETS-PRADA;ETS PRADA;CIABJ032024B1300667;2025-04-18T23:07:01;ABIDJAN;XOF;2400247T;250000.0;CC1;TOURE;CODJO;077987833;200;2025-05-22T21:56:20;AIRSI
;01;4111ETS-SANDRA;4111ETS-SANDRA;4111ETS-SANDRA;KARAKI FATIMA ( ETS SANDRA );CI-ABJ032021A1000738;2023-03-16T21:12:36;ABIDJAN-KOUMASSI;XOF;2142406S;500000.0;CC1;TOURE;OLGA; ;200;2025-06-13T06:00:23;NOR
;01;4111ETSAB;4111ETSAB;4111ETSAB;STARS MARKET; ;2021-11-11T04:08:22;ABIDJAN;XOF;0326140 L;500000.0;CC1;TOURE;OLGA; ;200;2024-08-13T07:34:29;NOR
;01;4111ETSHALL-BUS;4111ETSHALL-BUS;4111ETSHALL-BUS;ETS HALL BUSNESS;CI-GRDBSM-2018-A-623;2023-03-28T22:17:25;ABIDJAN-PORTBOUET;XOF;1513113E;1000000.0;CH15DFAC;CODJO;OLGA; ;200;2024-07-19T22:36:03;NOR
;C1;4111ETS-NIARE;4111ETS-NIARE;4111ETSNIARE-AK;AKWABA - BC;CIABJ2016B27545;2024-08-08T22:56:11;ABIDJAN;XOF;1655909K;0.0;ES3;TOURE;OLGA; ;200;2024-08-08T22:56:11;AIRSI
;C1;4111ETSVISTAVIE;4111ETSVISTAVIE;4111ETSVISTAVIE;ETS VIS TA VIE ;CI-ABJ-2016A14879;2024-04-24T03:25:24;ABIDJAN;XOF;1633007V;500000.0;ES3;CODJO;OLGA;0707933034;200;2025-01-09T02:25:47;AIRSI
;C1;4111EVANATHOT;4111EVANATHOT;4111EVANATHOT; ; ;2024-10-02T21:39:09;ABIDJAN;XOF; ;0.0;CH15DFAC;ASSAMOI;OLGA;0151527474;400;2024-10-02T21:41:15;AIRSI
;C2;4111EVANATHOTEL;4111EVANATHOTEL;4111EVANATHOTEL;EVANAT HOTEL;CI-ABJ-2018-B-301;2024-10-02T21:46:13;ABIDJAN;XOF;2400811P;1000000.0;CH15DFAC;ASSAMOI;OLGA;0151527474;400;2024-10-02T21:46:13;AIRSI
;C1;4111EVENT;4111EVENT;4111EVENT;KING EVENT;CI-ABJ032021B1200450;2023-11-22T22:50:41;ABIDJAN;XOF;2106645D;5000000.0;CH10;DABA;OLGA;0778192253;400;2025-06-13T06:05:01;AIRSI
;C1;4111EXPRESS;4111EXPRESS;4111EXPRESS;SUPERETTE EXPRESS;CI-ABJ-2019A16554;2023-10-30T23:19:27;ABIDJAN COCODY;XOF;1325971V;500000.0;CC1;PHILGENCE;OLGA; ;200;2024-08-23T05:39:50;AIRSI
;01;4111FATIOU;4111FATIOU;4111FATIOU;FATIOU RAFIATOU FLORENCE; ;2024-01-09T21:21:29;BINGERVILLE;XOF; ;250000.0;CC1;TOURE;OLGA; ;200;2024-05-13T00:09:51;AIRSI
;C1;4111FEVER;4111FEVER;4111FEVER;THE GREEN FEVER;CIABJ-03-2022B130311;2024-04-19T03:58:35;ABIDJAN;XOF;2238007D;1500000.0;CH15;CODJO;OLGA;0787715959;400;2025-06-13T06:02:16;AIRSI
;01;4111FICA-CI;4111FICA-CI;4111FICA-CI;FICA-CI; ;2022-04-23T01:41:04; ;XOF; ;500000.0;FRCHQ30FM10;OLGA;OLGA; ;200;2024-06-22T03:39:12;NOR
;01;4111FILJIM;4111FILJIM;4111FILJIM;FILJIM; ;2021-11-20T02:40:15; ;XOF; ;1000000.0;CHFM10;CODJO;OLGA; ;400;2025-05-06T07:08:19;AIRSI
;C1;4111FINEBOUCHE;4111FINEBOUCHE;4111FINEBOUCHE;FINE BOUCHE;CIABJ2016-A-16792;2024-10-28T22:06:20;ABIDJAN;XOF; ;0.0;CH15DFAC;CODJO;OLGA; ;400;2024-12-29T01:52:32;AIRSI
;C1;4111FIRAZ;4111FIRAZ;4111FIRAZ;SUPERETTE CHEZ FIRAZ ;CI-ABJ-03-2023B13127;2024-02-22T01:27:26;ABIDJAN;XOF;1434717L;500000.0;CC1;DAHAN;OLGA;0713569853;200;2025-06-24T07:05:58;AIRSI
;C1;4111FISHFRESH;4111FISHFRESH;4111FISHFRESH;FISH AND FRESH; ;2024-06-06T20:34:56;ABIDJAN;XOF; ;500000.0;CH1;CODJO;OLGA;0758229182;200;2024-06-06T20:36:46;AIRSI
;01;4111FIVE;4111FIVE;4111FIVE;MONTAIGNE GROUP (THE FIVE); ;2022-08-26T23:27:34; ;XOF;2115030L;500000.0;CH10;SERGEMOTTO;OLGA;0709088808;400;2024-05-13T00:09:51;NOR
;01;4111FLORENCE;4111FLORENCE;4111FLORENCE;YAPO FLORENCE; ;2022-02-18T02:11:40;ABIDJAN;XOF; ;6000000.0;CC1;KANI;OLGA; ;300;2025-01-29T23:25:14;AIRSI
;01;4111FMHOTEL;4111FMHOTEL;4111FMHOTEL;FM HOTEL; ;2023-06-09T20:00:39;ABIDJAN;XOF;2300020B;1500000.0;CC1;DABA;OLGA; ;100;2024-05-13T00:09:51;AIRSI
;C1;4111FOOD-ADDICT;4111FOOD-ADDICT;4111FOOD-ADDICT;FOOD ADDICTION SARL;CI-ABJ032023B1202284;2023-12-29T23:42:26;ABIDJAN;XOF;2301855N;1500000.0;CC1;CODJO;OLGA;0544000000;400;2024-05-13T00:09:51;AIRSI
;C1;4111FOODADDICT;4111FOODADDICT;4111FOODADDICT;FOOD ADDICTION;CIABJ032023B1202284;2024-12-18T21:12:59;ABIDJAN;XOF;2301855N;500000.0;CH15DFAC;DABA;OLGA;054400000;400;2024-12-18T21:12:59;AIRSI
;01;4111FOODCI;4111FOODCI;4111FOODCI;FOOD CI; ;2021-08-02T22:48:17; ;XOF; ;0.0;ES1;SYNA;SYNA;0749121399;300;2024-05-13T00:09:51;AIRSI
;01;4111FOUAD;4111FOUAD;4111FOUAD;FOUAD ANDERSON; ;2021-08-24T21:54:29; ;XOF; ;2000000.0;CC1;SYNA;AYEKOUE;0708852401;300;2024-09-19T06:53:49;AIRSI
;C1;4111FOURCHETTE;4111FOURCHETTE;4111FOURCHETTE;FOURCHETTE DE ROZE;CI-ABJ032022B1311044;2023-10-12T01:59:35;ABIDJAN;XOF;2245033X;500000.0;CC1;CODJO;OLGA; ;400;2025-03-19T23:02:42;AIRSI
;01;4111FRANCHISE;4111FRANCHISE;4111FRANCHISE;GROUPE FRANCHISE COTE D'IVOIRE; ;2022-05-16T22:34:39; ;XOF; ;5000000.0;CH15;DABA;OLGA;0505753444;400;2025-03-10T22:51:23;NOR
;C1;4111FRANCK;4111FRANCK;4111FRANCK;KONAN KOUAKOU FRANCK; ;2024-06-12T04:31:27;ABIDJAN;XOF; ;2000000.0;CC1;SYNA;OLGA;0759460064;300;2024-08-10T05:47:41;AIRSI
;01;4111FRANCOIS;4111FRANCOIS;4111FRANCOIS;RESTAURANT CHEZ FRANCOIS ; ;2022-05-25T21:38:34; ;XOF; ;500000.0;CC1;DABA;OLGA;0747203436;400;2024-08-13T07:18:45;NOR
;C1;4111FREEMAN;4111FREEMAN;4111FREEMAN;FREEMAN HOTEL; ;2024-05-30T20:50:41;ABIDJAN;XOF; ;1500000.0;CC1;CODJO;OLGA;0707082870;400;2024-05-30T20:50:41;AIRSI
;C1;4111FULBERT;4111FULBERT;4111FULBERT;FULBERT BATAI; ;2024-01-04T07:29:45;ABIDJAN;XOF; ;2000000.0;CC1;SYNA;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;C1;4111GALAXY;4111GALAXY;4111GALAXY;MAISON GALAXY SARL;CIABJ032022M00287;2024-03-30T05:44:20;ABIDJAN;XOF;1700398U;2500000.0;CH10;CODJO;OLGA;0711735856;200;2025-05-14T05:10:21;NOR
;C1;4111GALAXY-ABOB;4111GALAXY-ABOB;4111GALAXY-ABOB;MAISON GALAXY ABOBO;CIABJ032022M34091;2024-08-06T00:31:58;ABIDJAN;XOF;1700398U;1500000.0;CH10;TOURE;OLGA;0711735886;200;2024-08-06T00:31:58;NOR
;01;4111GARDEN;4111GARDEN;4111GARDEN;MONTAIGNE GROUP (THE GARDEN);CI-ABJ-03-2021-B12-0;2022-08-29T21:48:27; ;XOF;2115030 L;5000000.0;CC1;SERGEMOTTO;OLGA; ;400;2024-05-13T00:09:51;AIRSI
;01;4111GATPAIN;4111GATPAIN;4111GATPAIN;DES GATEAUX ET DU PAIN;CI-ABJ-2008-B-468;2021-09-15T21:29:05;ABIDJAN;XOF;0802892S;30000000.0;FRCHQ30FM10;SERGEMOTTO;SERGEMOTTO; ;400;2025-01-03T22:31:08;NOR
;01;4111GBODOU;4111GBODOU;4111GBODOU;GBODOU INNOCENT; ;2022-02-18T01:53:54;ABIDJAN;XOF; ;2000000.0;CC1;SYNA;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;C1;4111GEGA;4111GEGA;4111GEGA;LA GENERALE DE LA GASTRONOMIE;CIABJ2012B-5884;2024-05-01T06:55:37;ABIDJAN;XOF;1223907Y;20000000.0;FRCHQ30FAC;BAMBA;OLGA;0707586166;100;2025-06-27T23:50:36;AIRSI
;01;4111GEKTRADING;4111GEKTRADING;4111GEKTRADING;GEK TRADING;CI-ABJ-2017B1700;2022-08-05T06:36:30; ;XOF;1703088G;0.0;CC1;TOURE;OLGA;0709223351;200;2024-05-13T00:09:51;AIRSI
;01;4111GEMSCI;4111GEMSCI;4111GEMSCI;GEMS-CI; ;2022-03-02T04:35:51;ABIDJAN;XOF;1010983N;5000000.0;FRCHQ30FM10;SERGEMOTTO;OLGA; ;100;2025-03-12T22:25:28;NOR
;01;4111GEORGES;4111GEORGES;4111GEORGES;CHEZ GEORGES;CI-ABJ-2018-B-29677;2021-11-27T03:21:49;ABIDJAN;XOF;8106564 A;1000000.0;CHFM10;CODJO;OLGA; ;400;2025-04-07T23:56:10;NOR
;C1;4111GHA;4111GHA;4111GHA;GRAND HOTEL D'ABIDJAN;CI-ABJ011962B140029-;2023-09-14T23:53:30;PLATEAU;XOF;0100291K;1000000.0;CH10;ASSAMOI;OLGA;2720321200;400;2024-05-13T00:09:51;AIRSI
;01;4111GID;4111GID;4111GID;GROUPE INDUSTRIE ET DISTRIBUTION; ;2022-01-08T04:08:14; ;XOF; ;80000000.0;CHFM10;SERGEMOTTO;OLGA; ;100;2025-06-13T06:03:43;NOR
;01;4111GINA;4111GINA;4111GINA;GINA PRIMA SARL;CI-ABJ-03-2022B13064;2022-10-21T03:25:07; ;XOF;2242859F;300000.0;CH10;DABA;OLGA;0748367765;400;2024-05-13T00:09:51;AIRSI
;01;4111GK2A;4111GK2A;4111GK2A;GK2A ENTREPRISE;CI-ABJ032021B1201349;2023-03-09T05:04:06;ABIDJAN-MARCORY;XOF;2122724K;3000000.0;CH15;SERGEMOTTO;OLGA; ;100;2025-03-13T17:36:25;AIRSI
;01;4111GLOBAL-FOOD;4111GLOBAL-FOOD;4111GLOBAL-FOOD;NOUVELLE GLOBAL FOOD COMPANY; ;2022-04-15T01:39:27; ;XOF; ;0.0;CC1;SYNA;OLGA; ;300;2024-05-13T00:09:51;NOR
;01;4111GLOBALFOOD;4111GLOBALFOOD;4111GLOBALFOOD;NOUVELLE GLOBAL FOOD COMPANY;CI-ABJ-2019-B-21899;2021-09-16T03:39:32;ABIDJAN;XOF;1973462Z;0.0;CC1;SYNA;OLGA; ;300;2024-05-13T00:09:51;NOR
;01;4111GLOIRE;4111GLOIRE;4111GLOIRE;POISSONNERIE LA GLOIRE; ;2021-06-15T23:24:08; ;XOF; ;8000000.0;CC1;HYACINTHEK;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;01;4111GLOVO;4111GLOVO;4111GLOVO;GLOVO APP COTE D'IVOIRE;CI-ABJ-2019-B-02260;2022-02-12T04:52:45;ABIDJAN;XOF;1906338A;15000000.0;CH20;OLGA;OLGA; ;200;2025-05-07T03:29:30;NOR
;C2;4111GLOVO-BSM;4111GLOVO-BSM;4111GLOVO-BSM;GLOVO APP BASSAM; ;2025-02-11T22:25:41;BASSAM;XOF; ;0.0;CH20;INNOCENT;OLGA; ;200;2025-02-11T22:25:41;NOR
;C1;4111GLOVO-KSM;4111GLOVO-KSM;4111GLOVO-KSM;GLOVO APP KOUMASSI; ;2025-05-07T02:21:08;ABIDJAN;XOF; ;0.0;CH20;PHILGENCE;OLGA; ;200;2025-05-07T02:21:08;NOR
;01;4111GLOVO-SQR;4111GLOVO-SQR;4111GLOVO-SQR;GLOVO APP COTE D'IVOIRE SQUARE;CI-ABJ-2019-B-02260;2024-04-12T22:18:42; ;XOF;1906338A;0.0;CH20;CODJO;OLGA; ;200;2025-01-10T05:01:00;NOR
;01;4111GLOVO-SYN;4111GLOVO-SYN;4111GLOVO-SYN;GLOVO APP COTE D'IVOIRE SYNACASSCI;CI-ABJ-2019-B-02260;2024-02-28T05:54:57; ;XOF;1906338A;0.0;CH20;SARAH;OLGA; ;200;2025-01-10T05:01:26;NOR
;01;4111GLOVO-YOP;4111GLOVO-YOP;4111GLOVO-YOP;GLOVO APP COTE D'IVOIRE YOPOUGON;CI-ABJ-2019-B-02260;2024-02-28T05:58:25; ;XOF;1906338A;0.0;CH20;PHILGENCE;OLGA; ;200;2025-01-10T05:02:53;NOR
;01;4111GLOVO;4111GLOVOBOUTIQ;4111GLOVOBOUTIQ;GLOVO APP COTE D'IVOIRE;CI-ABJ-2019-B-02260;2022-02-23T03:09:14;ABIDJAN;XOF;1906338A;15000000.0;FQUINZ23;OLGA;OLGA; ;200;2025-04-08T19:31:00;NOR
;01;4111GLOVO;4111GLOVOCLIENT;4111GLOVOCLIENT;GLOVO APP COTE D'IVOIRE VRIDI;CI-ABJ-2019-B-02260;2022-02-26T04:30:38;ABIDJAN;XOF;1906338A;15000000.0;CHFM10;GOMIS;OLGA; ;200;2025-04-08T19:31:00;NOR
;01;4111GMD;4111GMD;4111GMD;GMD CI;CIABJ032021B1201717;2022-01-18T05:14:11; ;XOF;2117394 L;0.0;CH15JFIN15;TOURE;OLGA; ;200;2024-10-13T00:29:18;NOR
;01;4111GNADRA;4111GNADRA;4111GNADRA;GNADRA; ;2022-02-18T01:55:02; ;XOF; ;2000000.0;CC1;SYNA;OLGA; ;300;2024-05-13T00:09:51;AIRSI
;C1;4111GNAGNE;4111GNAGNE;4111GNAGNE;GNAGNE LATH MATHILDE; ;2023-11-07T21:38:37;ABIDJAN;XOF; ;10000000.0;CC1;KANI;KANI; ;300;2024-08-10T05:25:00;AIRSI
;C1;4111GNAHORE;4111GNAHORE;4111GNAHORE;GNAHORE YVES PATRICK; ;2024-02-09T04:28:41;ABIDJAN;XOF; ;10000000.0;CC1;SYNA;OLGA; ;300;2024-08-22T20:07:27;AIRSI
;01;4111GNAMBA;4111GNAMBA;4111GNAMBA;GNAMBA LAGBO SEDA SENGHOR; ;2022-02-28T23:13:44; ;XOF; ;5000000.0;CC1;KANI;OLGA; ;300;2024-09-18T07:50:23;AIRSI
;C1;4111GNAMIEN;4111GNAMIEN;4111GNAMIEN;GNAMIEN EUGENE KOUAKOU;CI-DAL2023A12-2;2024-06-05T01:19:43;ABIDJAN;XOF; ;5000000.0;ES1;HYACINTHEK;OLGA;0504092353;300;2024-07-11T07:04:46;AIRSI
;01;4111GNANGAN;4111GNANGAN;4111GNANGAN;MR GNANGAN; ;2021-08-24T22:03:50; ;XOF; ;2000000.0;CC1;SYNA;SYNA;0202300476;300;2024-05-13T00:09:51;AIRSI
;C1;4111GNOMOU;4111GNOMOU;4111GNOMOU;GNOMOU MARGUERITE; ;2024-12-11T23:27:20;ABIDJAN;XOF; ;0.0;CC1;KANI;OLGA;0505559406;300;2024-12-11T23:27:20;AIRSI
